"locality","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","footprintWKT","scientificNameID","scientificName","kingdom","phylum","class","order_","family","genus","scientificNameAuthorship","FID"
"Vanua Levu Outer slope of Cakaunikuita barrier reef 5.5 miles west of the pass, near tip.",-16.185317,179.73695,"WGS84",30,"POINT (179.73695 -16.185317)",145123,"Jania adhaerens","Plantae","Rhodophyta","Florideophyceae","Corallinales","Corallinaceae","Jania","J.V.Lamouroux, 1816",1
"Vanua Levu Outer slope of Cakaunikuita barrier reef 5.5 miles west of the pass, near tip.",-16.185317,179.73695,"WGS84",30,"POINT (179.73695 -16.185317)",372311,"Rhipiliella verticillata","Plantae","Chlorophyta","Ulvophyceae","Bryopsidales","Udoteaceae","Rhipiliella","Kraft, 1986",2
"Vanua Levu Outer slope of Cakaunikuita barrier reef 5.5 miles west of the pass, near tip.",-16.185317,179.73695,"WGS84",30,"POINT (179.73695 -16.185317)",371639,"Chondria simpliciuscula","Plantae","Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Chondria","Weber-van Bosse, 1913",3
"Vanua Levu Outer slope of Cakaunikuita barrier reef 5.5 miles west of the pass, near tip.",-16.185317,179.73695,"WGS84",30,"POINT (179.73695 -16.185317)",169702,"Pseudoceratina purpurea","Animalia","Porifera","Demospongiae","Verongida","Pseudoceratinidae","Pseudoceratina","(Carter, 1880)",4
"Vanua Levu Outer slope of Cakaunikuita barrier reef 5.5 miles west of the pass, near tip.",-16.185317,179.73695,"WGS84",30,"POINT (179.73695 -16.185317)",165287,"Phyllospongia papyracea","Animalia","Porifera","Demospongiae","Dictyoceratida","Thorectidae","Phyllospongia","(Esper, 1794)",5
"Vanua Levu Outer slope of Cakaunikuita barrier reef 5.5 miles west of the pass, near tip.",-16.185317,179.73695,"WGS84",30,"POINT (179.73695 -16.185317)",144481,"Halimeda discoidea","Plantae","Chlorophyta","Ulvophyceae","Bryopsidales","Halimedaceae","Halimeda","Decaisne, 1842",6
"Vanua Levu Outer slope of Cakaunikuita barrier reef 5.5 miles west of the pass, near tip.",-16.185317,179.73695,"WGS84",30,"POINT (179.73695 -16.185317)",374219,"Udotea geppiorum","Plantae","Chlorophyta","Ulvophyceae","Bryopsidales","Udoteaceae","Udotea","Yamada, 1930",7
"Vanua Levu Outer slope of Cakaunikuita barrier reef 5.5 miles west of the pass, near tip.",-16.185317,179.73695,"WGS84",30,"POINT (179.73695 -16.185317)",221169,"Avrainvillea lacerata","Plantae","Chlorophyta","Ulvophyceae","Bryopsidales","Dichotomosiphonaceae","Avrainvillea","Harvey ex J.Agardh, 1887",8
"Vanua Levu Outer slope of Cakaunikuita barrier reef 5.5 miles west of the pass, near tip.",-16.185317,179.73695,"WGS84",30,"POINT (179.73695 -16.185317)",165651,"Acanthella cavernosa","Animalia","Porifera","Demospongiae","Halichondrida","Dictyonellidae","Acanthella","Dendy, 1922",9
"Vanua Levu Outer slope of Cakaunikuita barrier reef 5.5 miles west of the pass, near tip.",-16.185317,179.73695,"WGS84",30,"POINT (179.73695 -16.185317)",214033,"Lomentaria corallicola","Plantae","Rhodophyta","Florideophyceae","Rhodymeniales","Lomentariaceae","Lomentaria","Børgesen, 1939",10
"Vanua Levu Outer slope of Cakaunikuita barrier reef 5.5 miles west of the pass, near tip.",-16.185317,179.73695,"WGS84",30,"POINT (179.73695 -16.185317)",214418,"Rhipidosiphon javensis","Plantae","Chlorophyta","Ulvophyceae","Bryopsidales","Udoteaceae","Rhipidosiphon","Montagne, 1842",11
