locality,scientificNameID,scientificName
Nagelelevu Lagoon' Lagoon seabed about 1 mile west of island,1,Dactylia delicata
"Nagelelevu Lagoon' Northwest tip of barrier reef, outer slope",2,Dysidea lizardensis
Vanua Levu 'Great Barrier Reef' west of Ravi Ravi channel barrier reef outer slope,2,Dysidea lizardensis
Vanua Levu Ravi Ravi channel eastern edge of pass near outlet,2,Dysidea lizardensis
Kandavu 'Pearl reef' Outer slope of barrier reef southern tip,3,Platycladia palmatifida
Vanua Levu Kakaulevu Reef northern edge east of Kia Island (inner part of bend),1365,Alcyonacea sp.
Vanua Levu Outer slope of barrier reef west of 'Sau Sau Pass',1365,Alcyonacea sp.
Kandavu 'Pearl reef' Outer slope of barrier reef  eastern tip,103483,Ascidia
Kandavu 'Pearl reef' Outer slope of barrier reef southern tip,103483,Ascidia
Kandavu Galoa Harbour Outer slope of barrier reef,103483,Ascidia
Nagelelevu Lagoon' First small pass southwest of barrier reef before 'Rendell Channel',103483,Ascidia
Nagelelevu Lagoon' Lagoon seabed about 1 mile west of island,103483,Ascidia
Nukusemanu reef Outer slope north of atoll,103483,Ascidia
Vanua Levu 'Great Barrier Reef' west of Ravi Ravi channel barrier reef outer slope,103483,Ascidia
Vanua Levu Kakaulevu Reef northern edge east of Kia Island,103483,Ascidia
Vanua Levu Kakaulevu Reef northern edge east of Kia Island (inner part of bend),103483,Ascidia
Vanua Levu Kakaulevu Reef western edge across from Kia Island,103483,Ascidia
Vanua Levu Outer slope of barrier reef west of 'Sau Sau Pass',103483,Ascidia
Vanua Levu Ravi Ravi channel eastern edge of pass near outlet,103483,Ascidia
Vanua Levu Western slope of Kakaulau Reef,103483,Ascidia
Bud reef' Lagoon pinnacle across from Yavu Island,131707,Pericharax sp.
Nagelelevu Lagoon' Outer slope north of 'Toulalia' Island,131707,Pericharax sp.
Vanua Levu Kakaulevu Reef northern edge east of Kia Island,131707,Pericharax sp.
Vanua Levu Kakaulevu Reef western edge across from Kia Island,131707,Pericharax sp.
"Vanua Levu Outer slope of Cakaunikuita barrier reef 5.5 miles west of the pass, near tip.",131707,Pericharax sp.
Vanua Levu Ravi Ravi channel eastern edge of pass near outlet,131707,Pericharax sp.
Ngau Outer slope of barrier reef across from village,131731,Leucetta sp.
Nukusemanu reef Outer slope north of atoll,131731,Leucetta sp.
Vanua Levu Kakaulevu Reef northern edge east of Kia Island (inner part of bend),131731,Leucetta sp.
Vanua Levu Outer slope of barrier reef west of 'Sau Sau Pass',131731,Leucetta sp.
Nagelelevu Lagoon' First small pass southwest of barrier reef before 'Rendell Channel',131738,Aplysilla sp.
Vanua Levu Western slope of Kakaulau Reef,131738,Aplysilla sp.
Bud reef' Lagoon pinnacle across from Yavu Island,131745,Dysidea sp.
Bud reef' Nananikita bud reef  eastern edge,131745,Dysidea sp.
Ile Yanuca Along coast at northern tip of island,131745,Dysidea sp.
Kandavu 'Pearl reef' Outer slope of barrier reef  eastern tip,131745,Dysidea sp.
Kandavu Galoa Harbour Outer slope of barrier reef,131745,Dysidea sp.
Nagelelevu Lagoon' Outer slope north of 'Toulalia' Island,131745,Dysidea sp.
Nagelelevu Lagoon' Outer slope north of Ngelelevu Island,131745,Dysidea sp.
Nanuku reef North-west of lagoon,131745,Dysidea sp.
Nukusemanu reef Outer slope north of atoll,131745,Dysidea sp.
Vanua Levu Outer slope of barrier reef west of 'Sau Sau Pass',131745,Dysidea sp.
"Vanua Levu Outer slope of Cakaunikuita barrier reef 5.5 miles west of the pass, near tip.",131745,Dysidea sp.
"Nagelelevu Lagoon' Northwest tip of barrier reef, outer slope",131751,Ircinia sp.
Nagelelevu Lagoon' Outer slope north of 'Toulalia' Island,131751,Ircinia sp.
Vanua Levu Kakaulevu Reef western edge across from Kia Island,131751,Ircinia sp.
